Omega,Implementation,Time
1,CUTLASS,0.5932850609756096
1,CUTLASS,0.579159226190476
1,CUTLASS,0.563506274131274
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5678915369649804
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5591882183908045
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5701098632812498
1,CUTLASS,0.5678915369649804
1,CUTLASS,0.563506274131274
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5120986842105262
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.5678915369649804
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.5768700592885374
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5678915369649804
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5814666334661353
1,CUTLASS,0.5701098632812498
1,CUTLASS,0.5591882183908045
1,CUTLASS,0.5549358365019009
1,CUTLASS,0.5814666334661353
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5678915369649804
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5768700592885374
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5678915369649804
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5768700592885374
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5768700592885374
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5792310554384222
1,CUTLASS,0.5768700592885374
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5814666334661353
1,CUTLASS,0.5768700592885374
1,CUTLASS,0.5814666334661353
1,CUTLASS,0.579159226190476
1,CUTLASS,0.5591882183908045
1,CUTLASS,0.5613389423076921
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5745989173228344
1,CUTLASS,0.5814666334661353
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.565690406976744
1,CUTLASS,0.5723455882352939
1,CUTLASS,0.5591882183908045
