Omega,Implementation,Time
1,CUTLASS,0.6006401209677419
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5642376893939393
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5707231800766283
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5642376893939393
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5686126684957652
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5301023131672596
1,CUTLASS,0.5729182692307692
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5796765170862214
1,CUTLASS,0.5685448473282442
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5729182692307692
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5729182692307692
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5642376893939393
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5642376893939393
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.547642463235294
1,CUTLASS,0.566450386215092
1,CUTLASS,0.5751303088803088
1,CUTLASS,0.5685448473282442
1,CUTLASS,0.5729182692307692
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5819411549261383
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5685448473282442
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.586523932570444
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5751303088803088
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5774294367050271
1,CUTLASS,0.5751303088803088
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5599953007518795
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.547642463235294
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5642376893939393
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5773594961240309
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5818701171874999
1,CUTLASS,0.5707231800766283
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5663830798479086
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5796060311284046
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5887697628458497
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5841519607843136
1,CUTLASS,0.5864517716535432
1,CUTLASS,0.5864517716535432
1,cuBLAS,1.1729035433070865
1,cuBLAS,1.027301724137931
1,cuBLAS,0.961024193548387
1,cuBLAS,0.9672646103896102
1,cuBLAS,1.020265410958904
1,cuBLAS,1.0416695804195804
1,cuBLAS,1.0490052816901407
1,cuBLAS,1.0416695804195804
1,cuBLAS,0.999723154362416
1,cuBLAS,0.942776898734177
1,cuBLAS,1.020265410958904
1,cuBLAS,1.0204838364375934
1,cuBLAS,0.9930583333333332
1,cuBLAS,0.9674609295717475
1,cuBLAS,1.027301724137931
1,cuBLAS,1.0133248299319726
1,cuBLAS,0.9864817880794701
1,cuBLAS,0.9548637820512819
1,cuBLAS,0.9548637820512819
1,cuBLAS,1.0416695804195804
1,cuBLAS,0.9864817880794701
1,cuBLAS,0.9735866013071894
1,cuBLAS,1.0064780405405405
