Omega,Implementation,Time
152.0,cuCOSMA,3.343486867611367
152.0,cuCOSMA,3.4042098913046943
152.0,cuCOSMA,3.332133664988624
152.0,cuCOSMA,3.358294598904745
152.0,cuCOSMA,3.381439040226008
152.0,cuCOSMA,3.2995106140348165
152.0,cuCOSMA,3.294623370291396
152.0,cuCOSMA,3.2736115483793817
152.0,cuCOSMA,3.332456080553839
152.0,cuCOSMA,3.289426243094774
152.0,cuCOSMA,3.2985320056723215
152.0,cuCOSMA,3.3142597309873634
152.0,cuCOSMA,3.321187871925442
152.0,cuCOSMA,3.3698270802230863
152.0,cuCOSMA,3.3428168910012563
152.0,cuCOSMA,3.293647658387756
152.0,cuCOSMA,3.2998369458721855
152.0,cuCOSMA,3.317225391716094
152.0,cuCOSMA,3.3053944799616106
152.0,cuCOSMA,3.340808571222945
152.0,cuCOSMA,3.334798064699507
152.0,cuCOSMA,3.2845688057024542
152.0,cuCOSMA,3.3337984156276446
152.0,cuCOSMA,3.313601415248056
152.0,cuCOSMA,3.3142597309873625
