Omega,Implementation,Time
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0775862068965518e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,9.952229299363056e-07
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0416666666666667e-06
1.0,cuBLAS,9.300595238095238e-07
1.0,cuBLAS,1.0080645161290323e-06
1.0,cuBLAS,1.0416666666666667e-06
1.0,cuBLAS,9.765625e-07
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,9.889240506329115e-07
1.0,cuBLAS,1.0629251700680272e-06
1.0,cuBLAS,1.001602564102564e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,9.952229299363056e-07
1.0,cuBLAS,1.0850694444444444e-06
1.0,cuBLAS,9.585889570552148e-07
1.0,cuBLAS,1.001602564102564e-06
1.0,cuBLAS,1.0347682119205298e-06
1.0,cuBLAS,8.77963125548727e-07
1.0,cuBLAS,1.0850694444444444e-06
1.0,cuBLAS,1.0850694444444444e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,9.889240506329115e-07
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0212418300653596e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.001602564102564e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0146103896103896e-06
1.0,cuBLAS,1.001602564102564e-06
1.0,cuBLAS,9.952229299363056e-07
1.0,cuBLAS,1.0146103896103896e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0486577181208053e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0146103896103896e-06
1.0,cuBLAS,1.0629251700680272e-06
1.0,cuBLAS,9.645061728395062e-07
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0775862068965518e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.0775862068965518e-06
1.0,cuBLAS,1.0486577181208053e-06
1.0,cuBLAS,1.0775862068965518e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuCOSMA,1.3706140350877192e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.220703125e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.1488970588235293e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.201923076923077e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2112403100775194e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.1081560283687943e-06
1.0,cuCOSMA,1.201923076923077e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.1003521126760564e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2303149606299212e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.2703252032520325e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2600806451612903e-06
1.0,cuCOSMA,1.240079365079365e-06
1.0,cuCOSMA,1.2503125781445362e-06
1.0,cuCOSMA,1.2807377049180328e-06
1.0,cuCOSMA,1.2503125781445362e-06
1.0,cuCOSMA,1.25e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.174812030075188e-06
1.0,cuCOSMA,1.2303149606299212e-06
